background
Time : 8.16e+01second, Name: bird_bg05.wav
Time : 9.00e+01second, Name: rain_bg03.wav
Time : 6.00e+01second, Name: crowd_bg01.wav
Time : 7.78e+01second, Name: rain_bg12.wav
Time : 1.20e+02second, Name: park_bg25.wav
Time : 9.00e+01second, Name: rain_bg04.wav
Time : 1.38e+02second, Name: park_bg09.wav
Time : 6.00e+01second, Name: schoolyard_bg06.wav
Time : 6.01e+01second, Name: schoolyard_bg02.wav
Time : 7.69e+01second, Name: constructionSite_bg21.wav
Time : 9.00e+01second, Name: rain_bg02.wav
Time : 6.00e+01second, Name: crowd_bg12.wav
Time : 6.00e+01second, Name: bird_bg08.wav
Time : 9.00e+01second, Name: constructionSite_bg06.wav
Time : 1.23e+02second, Name: wind_tree_bg10.wav
Time : 6.01e+01second, Name: traffic_bg09.wav
Time : 7.50e+01second, Name: bird_bg17.wav
Time : 9.00e+01second, Name: bird_bg15.wav
Time : 6.00e+01second, Name: crowd_bg04.wav
Time : 6.53e+01second, Name: ventilation_bg09.wav
Time : 6.53e+01second, Name: ventilation_bg03.wav
Time : 1.20e+02second, Name: wind_tree_bg13..wav
Time : 9.00e+01second, Name: park_bg10.wav
Time : 9.00e+01second, Name: rain_bg05.wav
Time : 6.09e+01second, Name: fountain_bg04.wav
Time : 1.60e+02second, Name: wind_tree_bg03.wav
Time : 6.00e+01second, Name: crowd_bg13.wav
Time : 5.80e+01second, Name: bird_bg11.wav
Time : 1.14e+02second, Name: park_bg21.wav
Time : 4.15e+01second, Name: ventilation_bg10.wav
Time : 1.20e+02second, Name: park_bg08.wav
Time : 6.00e+01second, Name: schoolyard_bg04.wav
Time : 6.37e+01second, Name: fountain_bg05.wav
Time : 1.05e+02second, Name: ventilation_bg02.wav
Time : 9.26e+01second, Name: constructionSite_bg15.wav
Time : 4.96e+01second, Name: crowd_bg15.wav
Time : 9.00e+01second, Name: bird_bg14.wav
Time : 1.20e+02second, Name: constructionSite_bg19.wav
Time : 6.48e+01second, Name: schoolyard_bg11.wav
Time : 5.95e+01second, Name: constructionSite_bg16.wav
Time : 5.86e+01second, Name: rain_bg01.wav
Time : 9.00e+01second, Name: wind_tree_bg05.wav
Time : 6.34e+01second, Name: rain_bg10.wav
Time : 6.00e+01second, Name: crowd_bg05.wav
Time : 9.00e+01second, Name: bird_bg21.wav
Time : 9.23e+01second, Name: constructionSite_bg07.wav
Time : 7.35e+01second, Name: park_bg19.wav
Time : 1.80e+02second, Name: crowd_bg09.wav
Time : 6.00e+01second, Name: traffic_bg07.wav
Time : 6.50e+01second, Name: rain_bg11.wav
Time : 6.01e+01second, Name: bird_bg01.wav
Time : 7.98e+01second, Name: wind_tree_bg12..wav
Time : 9.00e+01second, Name: bird_bg22.wav
Time : 9.00e+01second, Name: bird_bg13.wav
Time : 1.82e+01second, Name: fountain_bg07.wav
Time : 6.31e+01second, Name: fountain_bg06.wav
Time : 4.82e+01second, Name: traffic_bg01.wav
Time : 9.00e+01second, Name: wind_tree_bg08.wav
Time : 1.20e+02second, Name: constructionSite_bg08.wav
Time : 4.42e+01second, Name: bird_bg04.wav
Time : 1.05e+02second, Name: park_bg20.wav
Time : 8.28e+01second, Name: constructionSite_bg26.wav
Time : 1.29e+02second, Name: constructionSite_bg04.wav
Time : 9.00e+01second, Name: park_bg14.wav
Time : 9.00e+01second, Name: constructionSite_bg13.wav
Time : 6.00e+01second, Name: crowd_bg02.wav
Time : 6.00e+01second, Name: schoolyard_bg03.wav
Time : 1.20e+02second, Name: constructionSite_bg09.wav
Time : 1.67e+02second, Name: park_bg16.wav
Time : 9.00e+01second, Name: fountain_bg09.wav
Time : 5.94e+01second, Name: wind_tree_bg07.wav
Time : 9.00e+01second, Name: park_bg11.wav
Time : 6.88e+01second, Name: ventilation_bg01.wav
Time : 9.00e+01second, Name: park_bg22.wav
Time : 1.12e+02second, Name: rain_bg08.wav
Time : 9.00e+01second, Name: bird_bg20.wav
Time : 6.00e+01second, Name: bird_bg24.wav
Time : 1.20e+02second, Name: park_bg12.wav
Time : 6.00e+01second, Name: crowd_bg14.wav
Time : 1.20e+02second, Name: constructionSite_bg10.wav
Time : 9.00e+01second, Name: bird_bg19.wav
Time : 9.00e+01second, Name: wind_tree_bg06.wav
Time : 6.00e+01second, Name: bird_bg23.wav
Time : 1.37e+02second, Name: constructionSite_bg18.wav
Time : 7.98e+01second, Name: fountain_bg08.wav
Time : 6.20e+01second, Name: bird_bg07.wav
Time : 8.01e+01second, Name: rain_bg09.wav
Time : 5.60e+01second, Name: schoolyard_bg10.wav
event
Time : 6.20e-01second, Name: doorCar05.wav
Time : 1.23e+00second, Name: doorHouse03.wav
Time : 1.04e+01second, Name: cityCar01.wav
Time : 3.06e+01second, Name: bell04.wav
Time : 9.16e-01second, Name: carHorn10.wav
Time : 1.09e+01second, Name: dog09.wav
Time : 2.54e+01second, Name: suitcase03.wav
Time : 1.69e+01second, Name: dog17.wav
Time : 3.39e+01second, Name: cityCar28.wav
Time : 1.19e+01second, Name: cityCar05.wav
Time : 8.02e-01second, Name: doorCar03.wav
Time : 1.19e+01second, Name: roadCar05.wav
Time : 4.59e-01second, Name: voice07.wav
Time : 2.26e+01second, Name: dog12.wav
Time : 5.54e-01second, Name: voice06.wav
Time : 1.95e+00second, Name: streetNoise04.wav
Time : 3.32e+01second, Name: storm03.wav
Time : 3.39e+01second, Name: stopCar02.wav
Time : 4.68e+00second, Name: voice11.wav
Time : 2.48e+00second, Name: carHorn07.wav
Time : 5.44e-01second, Name: voice03.wav
Time : 2.54e+01second, Name: bird17.wav
Time : 3.06e+01second, Name: bell03.wav
Time : 1.64e+01second, Name: roadCar06.wav
Time : 2.91e+00second, Name: bird18.wav
Time : 1.17e+01second, Name: dog06.wav
Time : 1.84e+01second, Name: cityCar18.wav
Time : 2.22e+01second, Name: stepPark03.wav
Time : 1.85e+01second, Name: roadCar03.wav
Time : 1.17e+01second, Name: roadCar08.wav
Time : 3.45e+00second, Name: doorCar01.wav
Time : 5.93e-01second, Name: voice05.wav
Time : 4.75e+01second, Name: siren01.wav
Time : 3.26e+01second, Name: cityCar11.wav
Time : 4.89e-01second, Name: voice04.wav
Time : 8.14e-01second, Name: voice14.wav
Time : 3.36e+00second, Name: doorbell03.wav
Time : 2.91e+01second, Name: stepCity01.wav
Time : 1.99e+01second, Name: cityCar27.wav
Time : 1.80e+01second, Name: train06.wav
Time : 1.74e+01second, Name: cityCar22.wav
Time : 1.89e+01second, Name: cityCar14.wav
Time : 7.68e+00second, Name: dog13.wav
Time : 1.85e+01second, Name: cityCar13.wav
Time : 7.76e+01second, Name: tram04.wav
Time : 1.60e+01second, Name: suitcase02.wav
Time : 1.03e+01second, Name: cityCar02.wav
Time : 1.29e+01second, Name: cityCar04.wav
Time : 8.78e-01second, Name: voice09.wav
Time : 2.10e+01second, Name: truck02.wav
Time : 1.76e+01second, Name: train01.wav
Time : 8.01e+01second, Name: plane10.wav
Time : 1.93e+01second, Name: cityCar26.wav
Time : 9.55e+00second, Name: constructionSite04.wav
Time : 3.75e+00second, Name: dog14.wav
Time : 1.70e+01second, Name: broom04.wav
Time : 1.77e+00second, Name: doorbell02.wav
Time : 1.90e+01second, Name: stopCar06.wav
Time : 3.82e+00second, Name: doorHouse02.wav
Time : 2.09e+01second, Name: roadCar16.wav
Time : 5.36e+00second, Name: bird01.wav
Time : 6.45e+01second, Name: truck01.wav
Time : 2.03e+01second, Name: stepCity03.wav
Time : 1.84e+01second, Name: cityCar17.wav
Time : 6.00e+01second, Name: stopCar04.wav
Time : 2.13e+01second, Name: stepPark06.wav
Time : 2.00e+01second, Name: stepPark02.wav
Time : 1.69e+01second, Name: plane01.wav
Time : 8.30e+00second, Name: dog18.wav
Time : 1.41e+01second, Name: cityCar06.wav
Time : 1.65e+01second, Name: cityCar08.wav
Time : 3.44e+01second, Name: storm02.wav
Time : 5.42e+00second, Name: bird06.wav
Time : 1.84e+01second, Name: roadCar18.wav
Time : 1.30e+01second, Name: carHorn02.wav
Time : 1.04e+01second, Name: roadCar01.wav
Time : 1.22e+00second, Name: carHorn12.wav
Time : 1.85e+01second, Name: roadCar14.wav
Time : 1.23e+01second, Name: cityCar10.wav
Time : 2.87e+01second, Name: plane07.wav
Time : 4.46e+00second, Name: doorHouse05.wav
Time : 1.13e+01second, Name: dog11.wav
